Team Leader,Number of Participants,Total Debris Collected,Location Name,Organization/Dive Centre,City,Country,Date,Survey Duration,GPS Coordinates,Weather Conditions,Survey Depth Range,Area Surveyed,Dominant Substrate,Ecosystem,Wave Conditions,plastic_Caps & Lids (plastic),plastic_Fishing: Line,plastic_Plastic Fragments,"metal_Cans: Food/juice, Other (tin)","metal_Wire, Wire Mesh & Barbed Wire","metal_Fishing: Sinkers, Lures, Hooks",wood_Wood Fragments,plastic_Bags: Trash (plastic),plastic_Beverage Bottles: 2 Litres Or More (plastic),plastic_Beverage Bottles: Less Than 2 Litres (plastic),plastic_Fishing: Nets & Pieces Of Nets,plastic_Food Wrappers (plastic),"plastic_Sheeting: Tarpaulin, Plastic Sheets, Palette Wrap",plastic_Syringes (plastic),plastic_Rope (plastic/nylon),metal_Beverage Cans (aluminium),metal_Cars & Car Parts,metal_Pipes & Rebar,metal_Metal Fragments,rubber_Tires/tyres,cloth_Gloves (cloth),cloth_Cloth Fragments,"mixed_Shoes-flip Flops, Sandals, Tennis, Etc",plastic_Bags-grocery/retail (plastic),plastic_Mesh Bags: Fruit/vegetable/shellfish,"plastic_Buckets, Drums & Jerrycans-2 Liters Or More","plastic_Containers: Fast Food, Lunch Boxes & Similar","plastic_Cups, Plates, Forks, Knives, Spoons (plastic)",plastic_Pipes (plastic-PVC),glass_Cups & Plates-tableware/dishes (glass & Ceramic),glass_Jars-food (glass),glass_Glass & Ceramic Fragments,glass_Beverage Bottles (glass),cloth_Towels/rags,paper_Cardboard: Packaging & Cartons,mixed_Clothing,other_Rubber spring,other_Scissors,other_Cd packaging,other_Rubber mat,"plastic_SCUBA & Snorkel Gear-masks, Snorkels, Fins","paper_Paper, Cardboard Fragments",other_Scub Tank Boot,plastic_Foam Insulation & Packaging,"plastic_Fishing: Lures, Rods/poles",plastic_Bottles: Bleach/cleaner Bottles,plastic_Furnishings (plastic),plastic_Cigarette Filters,plastic_Strapping Bands (plastic),rubber_Rubber Fragments,other_plastic hanger,other_Plastic childrens spade,other_Plastic childrens toys,plastic_Buoys & Floats (plastic & Foamed),metal_Wrappers (foil/metal),plastic_Bottles: Oil/lube,plastic_Carpet (synthetic),glass_Light Globes/bulbs/tubes,other_shower curtain,other_moskito net,paper_Bags (paper),plastic_Gloves (latex),metal_Aerosol/spray Cans,metal_Caps & Lids (metal),"metal_Gas Bottles/cylinder, Drums-more Than 4 Liters",wood_Pallets,cloth_Rope And String (cloth),"mixed_Bricks, Cinderblocks & Chunks Of Cement",cloth_Bags (cloth)
Steve Rattle,7,1.2 kgs (estimated),ADS168 - Abu Sauatir,Pharaoh Dive Club,El Quseir,Egypt,"3 July, 2019",55 Minutes,Latitude: 26.205403139253 Longitude: 34.219644136244,Sunny but windy,3–18.9 meters,1500 m2,coral,coral reef,Slight for waves 0.5 -1.25 meter high,1,119,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Rattle,24,27 kgs (estimated),Gasus Soraya,Pharaoh Dive Club,El Quseir,Egypt,"17 June, 2019",45 Minutes,Latitude: 26.205403139253 Longitude: 34.219644136,calm and sunny,1–11 meters,157 m2,sand,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,10,50,22,2,NA,2,15,6,2,18,4,8,2,1,15,2,1,2,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thomas Insje,10,0.0818 kgs (measured),ADS168 - Abu Sauatir,Pharaoh Dive Club,El Quseir,Egypt,"23 June, 2018",50 Minutes,Latitude: 26.205403139253 Longitude: 34.219644136246,,1–15 meters,10000 m2,coral,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rebekka,15,9.346 kgs (measured),El Quseir Harbour,Pharaoh Dive Club,El Quseir,Egypt,"20 July, 2018",65 Minutes,Latitude: 26.103115 Longitude: 34.287276,"35-45°CModerate wind",3–9.5 meters,10000 m2,sand,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,3,780,13,5,NA,43,1,1,1,8,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,2,7,5,2,2,1,5,5,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clare Rattle,27,41.54 kgs (measured),Ras Quseir,Pharaoh Dive Club,El Quseir,Egypt,"22 May, 2018",51 Minutes,Latitude: 26.109857438251 Longitude: 34.287085561092,Calm,1–15 meters,3193 m2,coral,coral reef,Calm (glassy to rippled) for waves 0 – 0.1 meter high,NA,1036,NA,NA,NA,10,NA,NA,1,3,NA,1,NA,NA,6,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clare Meadows,4,1.5 kgs (estimated),ADS168 - Abu Sauatir,Pharaoh Dive Club,El Quseir,Egypt,"14 November, 2017",34 Minutes,Latitude: 26.205403139253 Longitude: 34.219644136246,Calm and clear,1–18 meters,2805 m2,coral,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,2,12,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elloit Greatrix,4,1.12 kgs (measured),ADS168 - Abu Sauatir,Pharaoh Dive Club,El Quseir,Egypt,"24 September, 2017",58 Minutes,Latitude: 26.205403139253 Longitude: 34.219644136246,Calm and Clear,1–18 meters,2805 m2,coral,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,NA,18,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliot Greatrix,3,0.12 kgs (measured),ADS168 - Abu Sauatir,Pharaoh Dive Club,el quseir,Egypt,"23 July, 2017",56 Minutes,Latitude: 26.205403139253 Longitude: 34.219644136246,"clear skies , calm wind +40 degrees",15–19.9 meters,3267 m2,coral,coral reef,Slight for waves 0.5 -1.25 meter high,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rachel Mawer,3,0.14 kgs (measured),ADS168 - Abu Sauatir,Pharaoh Dive Club,el quseir,Egypt,"22 July, 2017",44 Minutes,Latitude: 26.205403139253 Longitude: 34.219644136246,"clear skies +40 degrees, mild wind",15–32 meters,4600 m2,coral,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allan Prommik,7,4.671 kgs (measured),Gasus Soraya,Pharaoh Dive Club,el quseir,Egypt,"15 April, 2017",50 Minutes,Latitude: 26.555 Longitude: 34.03766,Windy,1–22 meters,9400 m2,coral,coral reef,Smooth (wavelets) for waves 0.1 - 0.5 meter high,123,NA,34,NA,NA,NA,NA,NA,2,2,NA,NA,17,NA,2,NA,NA,NA,NA,NA,NA,5,NA,9,NA,NA,1,11,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,27,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
