name_key,name,town_cities,GPS_coordinates,GPS_coordinates_latitude,GPS_coordinates_longitude,GPS_coordinates_altitude,GPS_coordinates_precision
abu_hamara,Abu Hamara,,26.0614 34.1652 0 20,26.0614,34.1652,0,20
abu_sauatir,Abu Sauatir,,26.206175 34.219504 0 20,26.206175,34.219504,0,20
bet_goha,Bet Goha,,26.20473427 34.27047729 0 20,26.20473427,34.27047729,0,20
el_mina,El Mina,,27.22341777 33.84508967 0 20,27.22341777,33.84508967,0,20
el_moghar,El Moghar,,   ,,,,
gasus_soraya,Gasus Soraya,,26.03 34.324 0 300,26.03,34.324,0,300
green_hole,Green Hole,,26.56949068 34.09727097 0 20,26.56949068,34.09727097,0,20
lighthouse,Lighthouse,,   ,,,,
machruga,Machruga,,   ,,,,
magbaret_somaya,Magbaret Somaya,,   ,,,,
mangrove_bay,Mangrove Bay,,25.93581714 34.48265076 0 100,25.93581714,34.48265076,0,100
mangrove_pinnacles,Mangrove Pinnacles,,   ,,,,
marsa_shora,Marsa Shora,,   ,,,,
marsa_waleed,Marsa Waleed,,26.338 34.172 0 100,26.338,34.172,0,100
nafag_rene,Nafaq Rene,,   ,,,,
saleem,Saleem,,   ,,,,
sheikh_malik,Sheikh Malik,,25.60190226 34.71954346 0 100,25.60190226,34.71954346,0,100
sug_bohar,Sug Bohar,,25.98397149 34.39304352 0 100,25.98397149,34.39304352,0,100
tarfa,Tarfa,,   ,,,,
serib_soraya,Serib Soraya,,   ,,,,
el_makluf,El Makluf,,26.49638584 34.14070129 0 20,26.49638584,34.14070129,0,20
